"CardName","Program","Issuer","Link","IntroOffer","Cash","Points","Nights","Credit","FeeWaived1stYr","Fee","Spend","img","Rate","MaxValue","isMax","newMax","x2017.04.04.1","x2017.04.04","x2017.04.03","x2017.03.23","x2017.03.22","x2017.03.21","x2017.03.19","x2017.03.18","x2017.03.16","x2017.03.15","x2017.03.14","x2017.03.13","x2017.03.10","x2017.03.09","x2017.03.07","x2017.03.06","x2017.03.03","x2017.03.02","x2017.03.01","x2017.02.28","x2017.02.27","x2017.02.24","x2017.02.23","x2017.02.22","x2017.02.21","x2017.02.16","x2017.02.15","x2017.02.13"
"AAdvantage Aviator Red World Elite Mastercard","American","Barclay","https://home.barclaycardus.com/cards/aadvantage-aviator-red-world-elite-mastercard.html","Earn 40,000 American Airlines AAdvantage<U+00AE> bonus miles",0,40000,0,0,0,95,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/AAFlat-Card.png",0.015,600,FALSE,FALSE,505,505,505,505,505,505,505,505,600,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505
"AARP Credit Card from Chase","Chase Ultimate Rewards","Chase","https://creditcards.chase.com/credit-cards/aarp?iCELL=61FY","$100 Bonus Cash Back after you spend $500 on purchases in the first 3 months.",100,0,0,0,0,0,500,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/aarp_card.png",0.021,100,TRUE,FALSE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Ace Rewards Visa Signature Card","FlexPoints","US","https://www.usbank.com/credit-cards/ace-rewards-visa-credit-card.html","Receive a $25 Ace Reward for every 12,500 points you earn.",0,12500,0,0,0,0,0,"https://www.usbank.com//images/credit-card/ACE_110x70.png",0.01,125,TRUE,FALSE,125,125,125,125,125,125,125,125,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AeroMexico Visa Card","AeroMexico","US","https://www.usbank.com/credit-cards/aeromexico-visa-credit-card.html?ics_src=19649","Receive 15,000 bonus miles after your first card use.1",0,15000,0,0,1,45,0,"https://www.usbank.com//images/credit-card/aeromexico_plat_110_70.png?6-15",0.01,150,TRUE,FALSE,150,150,150,150,150,150,150,150,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AeroMexico Visa Secured Card","AeroMexico","US","https://www.usbank.com/credit-cards/aeromexico-visa-secured-credit-card.html?ics_src=19649","Receive 5,000 bonus miles after your first card use.2",0,5000,0,0,1,25,0,"https://www.usbank.com//images/credit-card/aeromexico_plat_110_70.png?6-15",0.01,50,TRUE,FALSE,50,50,50,50,50,50,50,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AeroMexico Visa Signature Card","AeroMexico","US","https://www.usbank.com/credit-cards/aeromexico-visa-signature-credit-card.html?ics_src=19649","Receive 20,000 bonus miles after your first card use.1",0,20000,0,0,1,80,0,"https://www.usbank.com//images/credit-card/aeromexico_sig_110_70.png?6-15",0.01,200,TRUE,FALSE,200,200,200,200,200,200,200,200,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alaska Airlines Visa Signature","Alaska","BOA","https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/","30,000 bonus miles offer",0,30000,0,0,0,75,1000,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/1bbt_sigcm_v_mileageplan_250x158.png",0.019,570,FALSE,FALSE,495,495,495,495,495,495,495,495,570,495,495,495,495,495,495,495,495,495,465,465,465,465,465,465,465,225,465,465
"Allegiant World Mastercard","Allegiant","BOA","https://www.bankofamerica.com/credit-cards/products/allegiant-world-credit-card/","15,000 bonus points offer",0,15000,0,0,0,59,1000,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/ragp_wldcm_mc_250x158.png",0.01,150,FALSE,FALSE,91,91,91,91,91,91,91,91,150,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
"Amazon Rewards Visa Signature Card","Amazon","Chase","https://creditcards.chase.com/credit-cards/amazon-rewards?iCELL=61FY","$50 Amazon.com Gift Card will be instantly loaded into your Amazon.com account upon the approval of your credit card application.",0,0,0,0,0,0,0,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/amazon_card.png",0.01,50,FALSE,FALSE,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"American Express Green Card","American Express Membership Rewards","Amex","https://www.americanexpress.com/us/credit-cards/card/green/","Start Your Journey with GreenEarn 2x Membership Rewards points for each dollar you spend on eligible purchases at amextravel.com.Earn 1x points on every eligible dollar you spend. Terms and limitations apply<U+0087>",0,0,0,0,1,95,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/green-card.png",0.019,0,TRUE,FALSE,0,0,0,0,0,0,0,0,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
"Amex EveryDay Credit Card","American Express Membership Rewards","Amex","https://www.americanexpress.com/us/credit-cards/card/amex-everyday/","Earn 10,000Membership Rewards<U+00AE> pointsafter you use your new Card to make $1,000 in purchases in your first 3 months.<U+0086>",0,10000,0,0,0,0,1000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/amex-everyday.png",0.019,190,TRUE,FALSE,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
"Amex EveryDay Preferred Credit Card","American Express Membership Rewards","Amex","https://www.americanexpress.com/us/credit-cards/card/amex-everyday-preferred/","Earn 15,000Membership Rewards<U+00AE> Pointsafter you use your new Card to make $1,000 on purchases on your new Card in your first 3 months.<U+0086>",0,15000,0,0,0,95,1000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/amex-everyday-preferred.png",0.019,285,FALSE,FALSE,190,190,190,190,190,190,190,190,285,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
"Amtrak Guest Rewards World Mastercard","Amtrak","BOA","https://www.bankofamerica.com/credit-cards/products/amtrak-guest-rewards-credit-card/","20,000 bonus points offer",0,20000,0,0,0,79,1000,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/ragm_nrwwldcm_mc_250x158.png",0.025,500,FALSE,FALSE,421,421,421,421,421,421,421,421,500,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,121,421,421
